text,label
,
"I loved the product, it worked great",positive
"Excellent experience, highly recommend",positive
Very good service,positive
"Amazing quality, will buy again",positive
Great performance and design,positive
"Superb, exceeded expectations",positive
,
"Terrible service, will not return",negative
Not worth the money,negative
Very bad experience,negative
Disappointed and frustrated,negative
"Awful quality, do not buy",negative
Horrible product,negative
,
"It was ok, nothing special",neutral
"Average quality, nothing too bad",neutral
Neither good nor bad,neutral
Service was acceptable,neutral
"Product was fine, not great",neutral
Experience was neutral,neutral
